datetime;camera;fish;effort;swimtype;against
06.01.2020 14:05;south;3;4,75;calm;n
07.01.2020 12:05;south;3;4,75;against;j
08.02.2020 09:05;south;3;4,75;against;j
20.01.2020 12:15;in;2;4,751;swimming;n
13.12.2019 10:05;south;1;4,751;swimming;n
17.12.2019 12:05;south;1;4,751;calm;n
06.01.2020 14:05;south;2;4,751;calm;n
13.12.2019 10:15;in;1;4,999;against;j
20.12.2019 14:15;in;2;4,999;against;j
17.12.2019 12:05;south;3;4,999;calm;n
20.12.2019 14:05;south;2;4,999;against;j
04.12.2019 12:15;east;2;5;calm;n
20.12.2019 14:20;east;2;5;swimming;n
19.01.2020 10:00;feed;3;5;chaotic;n
17.12.2019 14:15;in;2;5;against;j
04.12.2019 12:20;north;1;5;swimming;n
20.12.2019 12:05;south;2;5;balancing;n
06.01.2020 12:05;south;1;5;calm;n
19.01.2020 10:05;south;2;5;chaotic;n
24.01.2020 10:05;south;3;5;calm;n
08.02.2020 09:05;south;1;5;against;j
06.01.2020 14:20;east;1;5,001;against;j
06.01.2020 14:20;east;3;5,001;against;j
20.01.2020 14:15;in;2;5,001;against;j
06.01.2020 12:05;south;2;5,001;calm;n
13.12.2019 12:05;south;3;5,002;against;j
12.01.2020 10:20;east;2;5,25;swimming;n
10.12.2019 12:15;in;3;5,25;calm;n
20.12.2019 14:15;in;1;5,25;against;j
26.01.2020 10:15;in;3;5,25;calm;n
08.02.2020 12:15;in;1;5,25;calm;n
24.01.2020 14:05;south;1;5,25;against;j
08.02.2020 09:05;south;2;5,25;against;j
17.12.2019 10:05;south;2;5,251;calm;n
24.01.2020 14:05;south;3;5,251;against;j
08.02.2020 12:20;east;1;5,499;swimming;n
06.01.2020 14:05;south;1;5,499;calm;n
20.12.2019 14:00;feed;2;5,5;against;j
13.12.2019 14:05;south;1;5,5;swimming;n
10.12.2019 12:15;in;1;5,749;calm;n
26.01.2020 10:20;east;3;5,751;swimming;n
06.01.2020 10:20;east;2;5,754;calm;n
15.12.2019 10:05;south;2;5,999;against;j
15.12.2019 10:05;south;3;6;against;j
12.01.2020 10:15;in;2;6,249;against;j
15.12.2019 10:15;in;3;6,5;against;j
24.01.2020 14:15;in;2;6,5;calm;n
20.12.2019 10:05;south;1;6,5;chaotic;n
20.12.2019 12:05;south;3;6,5;balancing;n
20.01.2020 12:05;south;2;6,5;chaotic;n
12.01.2020 14:00;feed;3;7,75;balancing;j
