Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.641,18.3,234,7.6,9.3,12.7,248,1.02,1.384,18.3,276,0.78,6.1,246,1.662,12.9,1.965,13.7,2.259,11,2020-01-09T05:15:00Z,2020-01-09T05:00:00Z,2020-01-09T05:10:00Z
1.648,11.6,257,6,7.1,9.4,249,1.05,1.233,11.6,257,0.967,6.7,259,1.516,9.7,1.847,10.7,2.184,11,2020-01-07T16:00:00Z,2020-01-07T16:00:00Z,2020-01-07T16:00:00Z
1.648,11.6,257,6,7.1,9.4,249,1.05,1.233,11.6,257,0.967,6.7,259,1.516,9.7,1.847,10.7,2.184,11,2020-01-07T16:05:00Z,2020-01-07T16:00:00Z,2020-01-07T16:00:00Z
1.648,11.6,257,6,7.1,9.4,249,1.05,1.233,11.6,257,0.967,6.7,259,1.516,9.7,1.847,10.7,2.184,11,2020-01-07T16:10:00Z,2020-01-07T16:00:00Z,2020-01-07T16:10:00Z
1.648,11.6,257,6,7.1,9.4,249,1.05,1.233,11.6,257,0.967,6.7,259,1.516,9.7,1.847,10.7,2.184,11,2020-01-07T16:15:00Z,2020-01-07T16:00:00Z,2020-01-07T16:10:00Z
1.649,14.2,260,5.4,6.5,9.7,267,1.01,1.245,14.2,260,1.044,3.9,186,1.639,9.2,2.12,10.6,2.814,9,2020-01-07T12:00:00Z,2020-01-07T12:00:00Z,2020-01-07T12:00:00Z
1.649,14.2,260,5.4,6.5,9.7,267,1.01,1.245,14.2,260,1.044,3.9,186,1.639,9.2,2.12,10.6,2.814,9,2020-01-07T12:05:00Z,2020-01-07T12:00:00Z,2020-01-07T12:00:00Z
1.649,14.2,260,5.4,6.5,9.7,267,1.01,1.245,14.2,260,1.044,3.9,186,1.639,9.2,2.12,10.6,2.814,9,2020-01-07T12:10:00Z,2020-01-07T12:00:00Z,2020-01-07T12:10:00Z
1.649,14.2,260,5.4,6.5,9.7,267,1.01,1.245,14.2,260,1.044,3.9,186,1.639,9.2,2.12,10.6,2.814,9,2020-01-07T12:15:00Z,2020-01-07T12:00:00Z,2020-01-07T12:10:00Z
1.659,14.2,291,5.5,6.6,9.2,273,0.95,1.145,14.2,291,1.113,6.1,267,1.64,9.2,1.989,9.8,2.421,12.5,2019-12-05T01:00:00Z,2019-12-05T01:00:00Z,2019-12-05T01:00:00Z
